               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2, metrics/Raccoon_mAP,    metrics/bear_mAP, metrics/buffalo_mAP, metrics/bycicle_mAP,     metrics/car_mAP,   metrics/clock_mAP,     metrics/cow_mAP,    metrics/deer_mAP,     metrics/dog_mAP,   metrics/eagle_mAP,metrics/elephant_mAP,    metrics/gaur_mAP,metrics/otherentities_mAP,  metrics/person_mAP,     metrics/pig_mAP,   metrics/tiger_mAP,metrics/umbrella_mAP,    metrics/wolf_mAP,metrics/Raccoon_mAP_50, metrics/bear_mAP_50,metrics/buffalo_mAP_50,metrics/bycicle_mAP_50,  metrics/car_mAP_50,metrics/clock_mAP_50,  metrics/cow_mAP_50, metrics/deer_mAP_50,  metrics/dog_mAP_50,metrics/eagle_mAP_50,metrics/elephant_mAP_50, metrics/gaur_mAP_50,metrics/otherentities_mAP_50,metrics/person_mAP_50,  metrics/pig_mAP_50,metrics/tiger_mAP_50,metrics/umbrella_mAP_50, metrics/wolf_mAP_50
                   0,            0.067457,            0.028897,            0.055804,             0.67844,             0.19246,            0.097761,            0.043567,            0.053738,            0.013322,            0.058737,            0.070076,           0.0033249,           0.0033249,          0.00020403,           0.0038038,             0.26487,           0.0014077,           0.0014634,            0.043567,           0.0059298,           0.0062669,             0.01421,          0.00016423,            0.074988,             0.15086,             0.00271,             0.11406,            0.043567,           0.0061822,            0.043567,           0.0063772,           0.0010201,           0.0068555,             0.54018,           0.0029021,           0.0026925,            0.097761,            0.010575,            0.061925,            0.038142,          0.00041058,             0.13646,             0.32663,           0.0085853,             0.29971,            0.097761,            0.013977,            0.097761,            0.016359
                   1,            0.051766,            0.025622,            0.032115,             0.68802,             0.19743,             0.19337,            0.077783,            0.053043,             0.01292,            0.035902,            0.039417,            0.005999,            0.005999,                   0,            0.055931,             0.27425,           0.0011092,           0.0082403,            0.077783,           0.0056033,            0.016577,            0.013701,          0.00025621,             0.28307,             0.25824,            0.018456,             0.18331,            0.077783,            0.016097,            0.077783,            0.031905,                   0,             0.11576,             0.63508,           0.0026356,            0.015493,             0.19337,            0.012305,             0.16502,            0.041828,          0.00064052,             0.61715,              0.5842,             0.06093,             0.49523,             0.19337,            0.030531,             0.19337,             0.12369
                   2,            0.049854,            0.025261,            0.023082,             0.61461,             0.18478,             0.14137,            0.054255,            0.057659,            0.014945,            0.034664,            0.008098,           0.0080132,           0.0080132,          0.00017072,           0.0024651,             0.14657,           0.0029507,            0.044655,            0.054255,            0.062594,            0.099036,             0.11369,                   0,            0.060308,            0.075889,            0.017179,             0.12689,            0.054255,            0.019809,            0.054255,            0.041624,           0.0017072,           0.0071608,             0.39597,           0.0079798,            0.064706,             0.14137,             0.11888,             0.24751,             0.30652,                   0,             0.14992,             0.26209,            0.052051,             0.37217,             0.14137,            0.062333,             0.14137,             0.07162
                   3,             0.04808,            0.025511,            0.020441,             0.62378,             0.17342,              0.1807,            0.080737,            0.056776,            0.013743,            0.027524,             0.00703,             0.00703,             0.00703,                   0,            0.019888,             0.34173,           0.0012024,            0.033818,            0.080737,            0.033527,          0.00019185,            0.090299,          0.00089433,              0.1493,             0.24973,            0.017441,             0.18197,            0.080737,            0.079511,            0.080737,            0.011551,                   0,            0.047117,             0.66685,           0.0025601,            0.045827,              0.1807,             0.11219,          0.00038369,             0.23865,           0.0017887,             0.30645,             0.55704,            0.057038,             0.47177,              0.1807,              0.1775,              0.1807,            0.025337
                   4,            0.046114,            0.025095,            0.017237,             0.74841,             0.26289,             0.32373,             0.14535,             0.04936,             0.01308,            0.017151,             0.00703,             0.00703,             0.00703,          0.00071532,            0.017567,              0.4273,            0.055826,           0.0076021,             0.14535,             0.26705,             0.24756,             0.13881,                   0,             0.26528,             0.29977,            0.036991,             0.24728,             0.14535,             0.13418,             0.14535,             0.03426,           0.0014306,            0.046826,             0.80776,             0.18456,            0.010821,             0.32373,             0.61012,             0.49505,             0.35531,                   0,              0.5568,             0.72305,             0.10459,             0.62568,             0.32373,             0.26918,             0.32373,            0.064707
                   5,            0.044075,            0.024456,            0.014925,             0.72275,              0.3093,             0.38746,             0.17201,            0.048482,            0.012736,            0.016224,             0.00604,             0.00604,             0.00604,                   0,            0.060876,             0.50906,            0.081026,              0.1247,             0.17201,             0.28706,            0.099134,             0.16433,                   0,             0.37592,             0.33087,            0.040097,             0.30547,             0.17201,              0.1693,             0.17201,            0.032286,                   0,             0.12287,             0.86242,             0.21224,             0.18467,             0.38746,             0.64995,             0.49511,             0.42867,                   0,             0.73137,             0.74079,             0.12347,             0.68777,             0.38746,             0.46502,             0.38746,             0.10763
                   6,            0.042111,            0.023511,            0.012638,             0.52872,             0.40139,             0.37486,             0.17252,            0.045761,             0.01254,            0.015229,             0.00505,             0.00505,             0.00505,           0.0058362,            0.066831,             0.49587,            0.043887,              0.2256,             0.17252,             0.31659,            0.075414,             0.20196,                   0,              0.2979,             0.33758,             0.05173,             0.28745,             0.17252,              0.1375,             0.17252,            0.043726,            0.011672,             0.16197,             0.82423,             0.19869,             0.42092,             0.37486,             0.61116,             0.24812,             0.55098,                   0,             0.59141,             0.77914,             0.13701,             0.64233,             0.37486,             0.36457,             0.37486,            0.080751
                   7,            0.040691,            0.023416,            0.011179,               0.533,             0.42015,             0.44567,             0.21413,            0.044386,            0.012088,            0.011884,             0.00406,             0.00406,             0.00406,           0.0081057,              0.1205,             0.55321,             0.14658,             0.21069,             0.21413,             0.34748,             0.14859,               0.194,                   0,             0.46663,             0.36249,               0.073,             0.32622,             0.21413,             0.20968,             0.21413,            0.044759,            0.016211,             0.21377,              0.8666,             0.35114,             0.44179,             0.44567,             0.60836,             0.49508,             0.48332,                   0,             0.87294,             0.79311,             0.18803,             0.70293,             0.44567,             0.54177,             0.44567,             0.10994
                   8,            0.039444,            0.022869,           0.0097725,              0.5501,             0.47874,             0.47385,             0.23216,            0.043497,            0.012114,            0.011679,             0.00307,             0.00307,             0.00307,           0.0011211,             0.14907,             0.57053,             0.15016,             0.31043,             0.23216,             0.36858,             0.12398,             0.21521,                   0,             0.47993,             0.40182,            0.086296,             0.34772,             0.23216,             0.22985,             0.23216,            0.047781,           0.0056053,             0.35278,             0.89852,             0.50063,              0.5279,             0.47385,             0.67426,             0.24761,             0.53261,                   0,             0.86991,             0.84815,             0.21892,             0.76231,             0.47385,             0.56696,             0.47385,             0.10167
                   9,            0.038322,            0.022505,           0.0087161,             0.65592,             0.53234,             0.52283,             0.26997,            0.041818,            0.011821,           0.0092086,             0.00208,             0.00208,             0.00208,             0.01901,             0.25137,             0.59554,              0.2264,             0.41178,             0.26997,             0.41521,             0.13005,             0.25688,                   0,             0.51417,             0.42128,            0.091396,             0.36145,             0.26997,             0.25341,             0.26997,              0.1016,            0.031683,             0.52204,             0.89716,             0.51441,             0.62701,             0.52283,             0.70253,                0.31,             0.58868,                   0,             0.91395,             0.86645,             0.23154,             0.76087,             0.52283,             0.67509,             0.52283,               0.201
